############################################################
#
# Nuclide : Pb204
#
#
# 1D-data stored in GroupDataSet
#
#E_up     total     (n,2n)    capture   mu        elastic   inelastic 
3.928e+00 1.083e+01 0.000e+00 2.272e-03 3.266e-03 1.082e+01 0.000e+00 
3.059e+00 1.083e+01 0.000e+00 2.574e-03 3.265e-03 1.082e+01 0.000e+00 
2.382e+00 1.083e+01 0.000e+00 2.918e-03 3.265e-03 1.082e+01 0.000e+00 
1.855e+00 1.083e+01 0.000e+00 3.203e-03 3.265e-03 1.082e+01 0.000e+00 
1.637e+00 1.083e+01 0.000e+00 3.409e-03 3.265e-03 1.082e+01 0.000e+00 
1.445e+00 1.083e+01 0.000e+00 3.631e-03 3.265e-03 1.082e+01 0.000e+00 
1.275e+00 1.083e+01 0.000e+00 3.863e-03 3.265e-03 1.082e+01 0.000e+00 
1.125e+00 1.083e+01 0.000e+00 4.113e-03 3.265e-03 1.082e+01 0.000e+00 
9.931e-01 1.083e+01 0.000e+00 4.380e-03 3.265e-03 1.082e+01 0.000e+00 
8.764e-01 1.083e+01 0.000e+00 4.660e-03 3.265e-03 1.082e+01 0.000e+00 
7.734e-01 1.083e+01 0.000e+00 4.960e-03 3.265e-03 1.082e+01 0.000e+00 
6.826e-01 1.083e+01 0.000e+00 5.281e-03 3.265e-03 1.082e+01 0.000e+00 
6.024e-01 1.083e+01 0.000e+00 5.622e-03 3.265e-03 1.082e+01 0.000e+00 
5.316e-01 1.083e+01 0.000e+00 5.987e-03 3.265e-03 1.082e+01 0.000e+00 
4.691e-01 1.083e+01 0.000e+00 6.371e-03 3.265e-03 1.082e+01 0.000e+00 
4.140e-01 1.083e+01 0.000e+00 6.672e-03 3.265e-03 1.082e+01 0.000e+00 
3.893e-01 1.083e+01 0.000e+00 6.886e-03 3.265e-03 1.082e+01 0.000e+00 
3.653e-01 1.083e+01 0.000e+00 7.111e-03 3.265e-03 1.082e+01 0.000e+00 
3.421e-01 1.083e+01 0.000e+00 7.352e-03 3.265e-03 1.082e+01 0.000e+00 
3.196e-01 1.083e+01 0.000e+00 7.612e-03 3.265e-03 1.082e+01 0.000e+00 
2.979e-01 1.083e+01 0.000e+00 7.890e-03 3.265e-03 1.082e+01 0.000e+00 
2.770e-01 1.083e+01 0.000e+00 8.188e-03 3.265e-03 1.082e+01 0.000e+00 
2.568e-01 1.083e+01 0.000e+00 8.510e-03 3.265e-03 1.082e+01 0.000e+00 
2.374e-01 1.083e+01 0.000e+00 8.857e-03 3.265e-03 1.083e+01 0.000e+00 
2.188e-01 1.084e+01 0.000e+00 9.234e-03 3.265e-03 1.083e+01 0.000e+00 
2.009e-01 1.084e+01 0.000e+00 9.646e-03 3.265e-03 1.083e+01 0.000e+00 
1.838e-01 1.084e+01 0.000e+00 1.010e-02 3.265e-03 1.083e+01 0.000e+00 
1.674e-01 1.084e+01 0.000e+00 1.059e-02 3.265e-03 1.083e+01 0.000e+00 
1.518e-01 1.085e+01 0.000e+00 1.114e-02 3.265e-03 1.083e+01 0.000e+00 
1.370e-01 1.085e+01 0.000e+00 1.174e-02 3.265e-03 1.084e+01 0.000e+00 
1.229e-01 1.085e+01 0.000e+00 1.241e-02 3.265e-03 1.084e+01 0.000e+00 
1.096e-01 1.085e+01 0.000e+00 1.317e-02 3.265e-03 1.084e+01 0.000e+00 
9.708e-02 1.085e+01 0.000e+00 1.401e-02 3.265e-03 1.084e+01 0.000e+00 
8.540e-02 1.086e+01 0.000e+00 1.498e-02 3.265e-03 1.084e+01 0.000e+00 
7.428e-02 1.086e+01 0.000e+00 1.611e-02 3.265e-03 1.084e+01 0.000e+00 
6.402e-02 1.086e+01 0.000e+00 1.740e-02 3.265e-03 1.084e+01 0.000e+00 
5.452e-02 1.086e+01 0.000e+00 1.892e-02 3.265e-03 1.085e+01 0.000e+00 
4.578e-02 1.087e+01 0.000e+00 2.072e-02 3.265e-03 1.085e+01 0.000e+00 
3.781e-02 1.087e+01 0.000e+00 2.291e-02 3.265e-03 1.085e+01 0.000e+00 
3.060e-02 1.087e+01 0.000e+00 2.560e-02 3.265e-03 1.085e+01 0.000e+00 
2.415e-02 1.088e+01 0.000e+00 2.901e-02 3.265e-03 1.086e+01 0.000e+00 
1.847e-02 1.090e+01 0.000e+00 3.347e-02 3.265e-03 1.087e+01 0.000e+00 
1.354e-02 1.093e+01 0.000e+00 3.954e-02 3.265e-03 1.089e+01 0.000e+00 
9.380e-03 1.097e+01 0.000e+00 4.826e-02 3.265e-03 1.092e+01 0.000e+00 
5.980e-03 1.104e+01 0.000e+00 6.185e-02 3.265e-03 1.098e+01 0.000e+00 
3.342e-03 1.120e+01 0.000e+00 8.584e-02 3.265e-03 1.112e+01 0.000e+00 
1.466e-03 1.172e+01 0.000e+00 1.381e-01 3.265e-03 1.159e+01 0.000e+00 
3.524e-04 1.465e+01 0.000e+00 2.993e-01 3.265e-03 1.435e+01 0.000e+00 
1.000e-05 1.465e+01 0.000e+00 2.993e-01 3.265e-03 1.435e+01 0.000e+00 
############################################################
############################################################
#
# Nuclide : Pb207
#
#
# 1D-data stored in GroupDataSet
#
#E_up     total     (n,2n)    capture   mu        elastic   inelastic 
1.000e+07 5.205e+00 7.476e-01 1.710e-03 7.392e-01 2.678e+00 1.778e+00 
7.788e+06 5.941e+00 4.097e-02 1.928e-03 7.674e-01 3.423e+00 2.475e+00 
6.065e+06 7.156e+00 0.000e+00 2.669e-03 7.683e-01 4.603e+00 2.550e+00 
4.724e+06 7.731e+00 0.000e+00 3.490e-03 7.144e-01 5.368e+00 2.360e+00 
3.679e+06 7.807e+00 0.000e+00 3.640e-03 6.082e-01 5.816e+00 1.988e+00 
